group_id,female,manager,population,district_id,state_name,year
432,f,f,148554,6,Wisconsin,2015
433,f,f,141621,7,Wisconsin,2015
434,f,f,153683,8,Wisconsin,2015
435,f,f,124728,0,Wyoming,2015
436,f,t,7834,1,Alabama,2015
437,f,t,6119,2,Alabama,2015
438,f,t,7251,3,Alabama,2015
439,f,t,6547,4,Alabama,2015
440,f,t,10331,5,Alabama,2015
441,f,t,8747,6,Alabama,2015
442,f,t,5913,7,Alabama,2015
443,f,t,10168,0,Alaska,2015
444,f,t,6237,1,Arizona,2015
445,f,t,8613,2,Arizona,2015
446,f,t,5498,3,Arizona,2015
447,f,t,6526,4,Arizona,2015
448,f,t,12467,5,Arizona,2015
449,f,t,11555,6,Arizona,2015
450,f,t,5139,7,Arizona,2015
451,f,t,9165,8,Arizona,2015
452,f,t,10665,9,Arizona,2015
453,f,t,4873,1,Arkansas,2015
454,f,t,10318,2,Arkansas,2015
455,f,t,9150,3,Arkansas,2015
456,f,t,6413,4,Arkansas,2015
457,f,t,6909,1,California,2015
458,f,t,12586,2,California,2015
459,f,t,6407,3,California,2015
460,f,t,10149,4,California,2015
461,f,t,8023,5,California,2015
462,f,t,6613,6,California,2015
463,f,t,10766,7,California,2015
464,f,t,6056,8,California,2015
465,f,t,7635,9,California,2015
466,f,t,7481,10,California,2015
467,f,t,12317,11,California,2015
468,f,t,16051,12,California,2015
469,f,t,12083,13,California,2015
470,f,t,12886,14,California,2015
471,f,t,14075,15,California,2015
472,f,t,3515,16,California,2015
473,f,t,16131,17,California,2015
474,f,t,20523,18,California,2015
475,f,t,14000,19,California,2015
476,f,t,8947,20,California,2015
477,f,t,,21,California,2015
478,f,t,6976,22,California,2015
479,f,t,8344,23,California,2015
480,f,t,11681,24,California,2015
481,f,t,11256,25,California,2015
482,f,t,10929,26,California,2015
483,f,t,12082,27,California,2015
484,f,t,14491,28,California,2015
485,f,t,6577,29,California,2015
486,f,t,15185,30,California,2015
487,f,t,6799,31,California,2015
488,f,t,6754,32,California,2015
489,f,t,15622,33,California,2015
490,f,t,6930,34,California,2015
491,f,t,5211,35,California,2015
492,f,t,5892,36,California,2015
493,f,t,9335,37,California,2015
494,f,t,8235,38,California,2015
495,f,t,14576,39,California,2015
496,f,t,4063,40,California,2015
497,f,t,5407,41,California,2015
498,f,t,12717,42,California,2015
499,f,t,8559,43,California,2015
500,f,t,4581,44,California,2015
501,f,t,17387,45,California,2015
502,f,t,6027,46,California,2015
503,f,t,10614,47,California,2015
504,f,t,13714,48,California,2015
505,f,t,13357,49,California,2015
506,f,t,10696,50,California,2015
507,f,t,3897,51,California,2015
508,f,t,17209,52,California,2015
509,f,t,13087,53,California,2015
510,f,t,17400,1,Colorado,2015
511,f,t,17127,2,Colorado,2015
512,f,t,11188,3,Colorado,2015
513,f,t,13484,4,Colorado,2015
514,f,t,10626,5,Colorado,2015
515,f,t,13656,6,Colorado,2015
516,f,t,14515,7,Colorado,2015
517,f,t,10721,1,Connecticut,2015
518,f,t,11516,2,Connecticut,2015
