official_id,rep_type,female,state_name,district_id,year
414,house,0,Ohio,16,2015
415,house,0,Oklahoma,1,2015
416,house,0,Oklahoma,2,2015
417,house,0,Oklahoma,3,2015
418,house,0,Oklahoma,4,2015
419,house,0,Oklahoma,5,2015
420,house,1,Oregon,1,2015
421,house,0,Oregon,2,2015
422,house,0,Oregon,3,2015
423,house,0,Oregon,4,2015
424,house,0,Oregon,5,2015
425,house,0,Pennsylvania,1,2015
426,house,0,Pennsylvania,2,2015
427,house,0,Pennsylvania,3,2015
428,house,0,Pennsylvania,4,2015
429,house,0,Pennsylvania,5,2015
430,house,0,Pennsylvania,6,2015
431,house,0,Pennsylvania,7,2015
432,house,0,Pennsylvania,8,2015
433,house,0,Pennsylvania,9,2015
434,house,0,Pennsylvania,10,2015
435,house,0,Pennsylvania,11,2015
436,house,0,Pennsylvania,12,2015
437,house,0,Pennsylvania,13,2015
438,house,0,Pennsylvania,14,2015
439,house,0,Pennsylvania,15,2015
440,house,0,Pennsylvania,16,2015
441,house,0,Pennsylvania,17,2015
442,house,0,Pennsylvania,18,2015
443,house,0,RhodeIsland,1,2015
444,house,0,RhodeIsland,2,2015
445,house,0,SouthCarolina,1,2015
446,house,0,SouthCarolina,2,2015
447,house,0,SouthCarolina,3,2015
448,house,0,SouthCarolina,4,2015
449,house,0,SouthCarolina,5,2015
450,house,0,SouthCarolina,6,2015
451,house,0,SouthCarolina,7,2015
452,house,1,SouthDakota,0,2015
453,house,0,Tennessee,1,2015
454,house,0,Tennessee,2,2015
455,house,0,Tennessee,3,2015
456,house,0,Tennessee,4,2015
457,house,0,Tennessee,5,2015
458,house,1,Tennessee,6,2015
459,house,1,Tennessee,7,2015
460,house,0,Tennessee,8,2015
461,house,0,Tennessee,9,2015
462,house,0,Texas,1,2015
463,house,0,Texas,2,2015
464,house,0,Texas,3,2015
465,house,0,Texas,4,2015
466,house,0,Texas,5,2015
467,house,0,Texas,6,2015
468,house,0,Texas,7,2015
469,house,0,Texas,8,2015
470,house,0,Texas,9,2015
471,house,0,Texas,10,2015
472,house,0,Texas,11,2015
473,house,1,Texas,12,2015
474,house,0,Texas,13,2015
475,house,0,Texas,14,2015
476,house,0,Texas,15,2015
477,house,0,Texas,16,2015
478,house,0,Texas,17,2015
479,house,1,Texas,18,2015
480,house,0,Texas,19,2015
481,house,0,Texas,20,2015
482,house,0,Texas,21,2015
483,house,0,Texas,22,2015
484,house,0,Texas,23,2015
485,house,0,Texas,24,2015
486,house,0,Texas,25,2015
487,house,0,Texas,26,2015
488,house,0,Texas,27,2015
489,house,0,Texas,28,2015
490,house,0,Texas,29,2015
491,house,1,Texas,30,2015
492,house,0,Texas,31,2015
493,house,0,Texas,32,2015
494,house,0,Texas,33,2015
495,house,0,Texas,34,2015
496,house,0,Texas,35,2015
497,house,0,Texas,36,2015
498,house,0,Utah,1,2015
499,house,0,Utah,2,2015
500,house,0,Utah,3,2015
501,house,1,Utah,4,2015
502,house,0,Vermont,0,2015
503,house,0,Virginia,1,2015
504,house,0,Virginia,2,2015
505,house,0,Virginia,3,2015
506,house,0,Virginia,4,2015
507,house,0,Virginia,5,2015
