group_id,female,manager,population,district_id,state_name
1484,t,t,9644,6,Louisiana
180,f,f,127646,1,Maine
181,f,f,108244,2,Maine
615,f,t,9903,1,Maine
616,f,t,7485,2,Maine
1050,t,f,104371,1,Maine
1051,t,f,80588,2,Maine
1485,t,t,9415,1,Maine
1486,t,t,5084,2,Maine
182,f,f,147424,1,Maryland
183,f,f,142786,2,Maryland
184,f,f,160928,3,Maryland
185,f,f,151878,4,Maryland
186,f,f,159038,5,Maryland
187,f,f,156131,6,Maryland
188,f,f,124491,7,Maryland
189,f,f,163266,8,Maryland
617,f,t,12607,1,Maryland
618,f,t,11112,2,Maryland
619,f,t,15765,3,Maryland
620,f,t,10759,4,Maryland
621,f,t,13034,5,Maryland
622,f,t,14352,6,Maryland
623,f,t,9060,7,Maryland
624,f,t,16343,8,Maryland
1052,t,f,111908,1,Maryland
1053,t,f,131035,2,Maryland
1054,t,f,132406,3,Maryland
1055,t,f,136220,4,Maryland
1056,t,f,140536,5,Maryland
1057,t,f,118063,6,Maryland
1058,t,f,113837,7,Maryland
1059,t,f,130065,8,Maryland
1487,t,t,7494,1,Maryland
1488,t,t,9198,2,Maryland
1489,t,t,11409,3,Maryland
1490,t,t,10222,4,Maryland
1491,t,t,10476,5,Maryland
1492,t,t,8778,6,Maryland
1493,t,t,9813,7,Maryland
1494,t,t,12763,8,Maryland
190,f,f,126681,1,Massachusetts
191,f,f,136889,2,Massachusetts
192,f,f,149192,3,Massachusetts
193,f,f,151709,4,Massachusetts
194,f,f,162977,5,Massachusetts
195,f,f,152165,6,Massachusetts
196,f,f,149967,7,Massachusetts
197,f,f,158677,8,Massachusetts
198,f,f,130666,9,Massachusetts
625,f,t,8836,1,Massachusetts
626,f,t,11091,2,Massachusetts
627,f,t,12170,3,Massachusetts
628,f,t,12433,4,Massachusetts
629,f,t,13190,5,Massachusetts
630,f,t,12367,6,Massachusetts
631,f,t,7899,7,Massachusetts
632,f,t,10456,8,Massachusetts
633,f,t,12173,9,Massachusetts
1060,t,f,100026,1,Massachusetts
1061,t,f,106696,2,Massachusetts
1062,t,f,107092,3,Massachusetts
1063,t,f,109148,4,Massachusetts
1064,t,f,120899,5,Massachusetts
1065,t,f,112202,6,Massachusetts
1066,t,f,128568,7,Massachusetts
1067,t,f,129522,8,Massachusetts
1068,t,f,99620,9,Massachusetts
1495,t,t,5353,1,Massachusetts
1496,t,t,8186,2,Massachusetts
1497,t,t,8726,3,Massachusetts
1498,t,t,9549,4,Massachusetts
1499,t,t,14053,5,Massachusetts
1500,t,t,9242,6,Massachusetts
1501,t,t,12810,7,Massachusetts
1502,t,t,13560,8,Massachusetts
1503,t,t,7790,9,Massachusetts
199,f,f,108352,1,Michigan
200,f,f,132242,2,Michigan
201,f,f,140365,3,Michigan
202,f,f,116022,4,Michigan
203,f,f,99323,5,Michigan
204,f,f,128321,6,Michigan
205,f,f,126691,7,Michigan
206,f,f,140678,8,Michigan
207,f,f,139939,9,Michigan
208,f,f,134588,10,Michigan
209,f,f,154273,11,Michigan
210,f,f,128539,12,Michigan
211,f,f,85927,13,Michigan
212,f,f,97131,14,Michigan
634,f,t,6850,1,Michigan
635,f,t,8033,2,Michigan
636,f,t,9169,3,Michigan
637,f,t,7330,4,Michigan
638,f,t,6287,5,Michigan
639,f,t,9632,6,Michigan
640,f,t,8290,7,Michigan
641,f,t,11473,8,Michigan
642,f,t,8917,9,Michigan
643,f,t,10348,10,Michigan
644,f,t,16294,11,Michigan
645,f,t,8392,12,Michigan
646,f,t,3630,13,Michigan
647,f,t,7409,14,Michigan
1069,t,f,76921,1,Michigan
1070,t,f,93196,2,Michigan
1071,t,f,91188,3,Michigan
1072,t,f,82925,4,Michigan
1073,t,f,82807,5,Michigan
1074,t,f,90344,6,Michigan
1075,t,f,89592,7,Michigan
1076,t,f,94573,8,Michigan
1077,t,f,106033,9,Michigan
1078,t,f,87826,10,Michigan
1079,t,f,102680,11,Michigan
1080,t,f,88142,12,Michigan
1081,t,f,79816,13,Michigan
1082,t,f,79406,14,Michigan
1504,t,t,5094,1,Michigan
1505,t,t,3316,2,Michigan
1506,t,t,5802,3,Michigan
1507,t,t,4824,4,Michigan
1508,t,t,5112,5,Michigan
1509,t,t,6680,6,Michigan
1510,t,t,5271,7,Michigan
1511,t,t,6992,8,Michigan
1512,t,t,7711,9,Michigan
1513,t,t,4743,10,Michigan
1514,t,t,7792,11,Michigan
1515,t,t,5757,12,Michigan
1516,t,t,4071,13,Michigan
1517,t,t,4996,14,Michigan
213,f,f,136564,1,Minnesota
214,f,f,150023,2,Minnesota
215,f,f,154948,3,Minnesota
216,f,f,132569,4,Minnesota
217,f,f,142927,5,Minnesota
218,f,f,149205,6,Minnesota
219,f,f,134480,7,Minnesota
220,f,f,116679,8,Minnesota
648,f,t,8867,1,Minnesota
649,f,t,13135,2,Minnesota
650,f,t,14894,3,Minnesota
651,f,t,10841,4,Minnesota
652,f,t,10861,5,Minnesota
653,f,t,11471,6,Minnesota
654,f,t,8773,7,Minnesota
655,f,t,7921,8,Minnesota
1083,t,f,99655,1,Minnesota
1084,t,f,113284,2,Minnesota
1085,t,f,114201,3,Minnesota
1086,t,f,106525,4,Minnesota
1087,t,f,118797,5,Minnesota
1088,t,f,105538,6,Minnesota
1089,t,f,95198,7,Minnesota
1090,t,f,84249,8,Minnesota
1518,t,t,4890,1,Minnesota
1519,t,t,7049,2,Minnesota
1520,t,t,9085,3,Minnesota
1521,t,t,8162,4,Minnesota
1522,t,t,10733,5,Minnesota
1523,t,t,6502,6,Minnesota
1524,t,t,4847,7,Minnesota
1525,t,t,4801,8,Minnesota
221,f,f,131716,1,Mississippi
222,f,f,97309,2,Mississippi
223,f,f,132017,3,Mississippi
224,f,f,119643,4,Mississippi
656,f,t,7583,1,Mississippi
